"fiscal_quarter","data_point_address_label","measure_value"
"Q4 - 2025","LF1: Liabilities before Policyholders' Liabilities, Current Period",372962815.00
"Q1 - 2026","LF1: Liabilities before Policyholders' Liabilities, Prior Period",372962815.00
"Q1 - 2026","LF1: Liabilities before Policyholders' Liabilities, Current Period",372362396.00
"Q1 - 2026","LF1: Liabilities before Policyholders' Liabilities, Current Period",355923763.00
"Q4 - 2025","LF1: Liabilities before Policyholders' Liabilities, Current Period",353187669.00
"Q1 - 2026","LF1: Liabilities before Policyholders' Liabilities, Prior Period",353187669.00
"Q4 - 2025","LF1: Liabilities before Policyholders' Liabilities, Prior Period",344590482.00
"Q4 - 2025","LF1: Liabilities before Policyholders' Liabilities, Prior Period",327065339.00
"Q1 - 2026","LF1: LIABILITIES: Total Insurance Contract Liabilities , Current Period",177740151.00
"Q1 - 2026","LF1: LIABILITIES: Total Insurance Contract Liabilities , Current Period",177581278.00
"Q4 - 2025","LF1: LIABILITIES: Total Insurance Contract Liabilities , Current Period",176017688.00
"Q1 - 2026","LF1: LIABILITIES: Total Insurance Contract Liabilities , Prior Period",176017688.00
"Q1 - 2026","LF1: LIABILITIES: Total Insurance Contract Liabilities , Prior Period",175860057.00
"Q4 - 2025","LF1: LIABILITIES: Total Insurance Contract Liabilities , Current Period",175860057.00
"Q4 - 2025","LF1: LIABILITIES: Total Insurance Contract Liabilities , Prior Period",167365387.00
"Q4 - 2025","LF1: LIABILITIES: Total Insurance Contract Liabilities , Prior Period",167226387.00
"Q1 - 2026","LF1: LIABILITIES: Total Investment Contract Liabilities, Current Period",158448328.00
"Q1 - 2026","LF1: LIABILITIES: Total Investment Contract Liabilities, Current Period",158448055.00
"Q1 - 2026","LF1: LIABILITIES: Total Investment Contract Liabilities, Prior Period",158255201.00
"Q4 - 2025","LF1: LIABILITIES: Total Investment Contract Liabilities, Current Period",158255201.00
"Q4 - 2025","LF1: LIABILITIES: Total Investment Contract Liabilities, Current Period",158254906.00
"Q1 - 2026","LF1: LIABILITIES: Total Investment Contract Liabilities, Prior Period",158254906.00
"Q1 - 2026","LF1: LIABILITIES: Insurance Contract Liabilities – Excluding Segregated Funds, Current Period",158087155.00
"Q1 - 2026","LF1: END OF PERIOD, Ending balance Insurance contract liabilities, Current Period, Total",158087155.00
"Q1 - 2026","LF1: END OF PERIOD, Ending balance Insurance contract liabilities, Current Period, Total",157987897.00
"Q1 - 2026","LF1: LIABILITIES: Insurance Contract Liabilities – Excluding Segregated Funds, Current Period",157987897.00
"Q1 - 2026","LF1: Net ending insurance contract balances, Current Period, Total",157858106.00
"Q1 - 2026","LF1: Net ending insurance contract balances, Current Period, Total",157858106.00
"Q1 - 2026","LF1: Net ending insurance contract balances, Current Period, Total",157783709.00
"Q1 - 2026","LF1: Net ending insurance contract balances, Current Period, Total",157783709.00
"Q4 - 2025","LF1: END OF PERIOD, Ending balance Insurance contract liabilities, Current Period, Total",155820514.00
"Q1 - 2026","LF1: END OF PERIOD, Ending balance Insurance contract liabilities, Prior Period, Total",155820514.00
"Q4 - 2025","LF1: LIABILITIES: Insurance Contract Liabilities – Excluding Segregated Funds, Current Period",155820514.00
"Q1 - 2026","LF1: BEGINNING OF PERIOD,Opening balance insurance contract liabilities, Current Period, Total",155820514.00
"Q1 - 2026","LF1: END OF PERIOD, Ending balance Insurance contract liabilities, Prior Period, Total",155727238.00
"Q1 - 2026","LF1: BEGINNING OF PERIOD,Opening balance insurance contract liabilities, Current Period, Total",155727238.00
"Q4 - 2025","LF1: END OF PERIOD, Ending balance Insurance contract liabilities, Current Period, Total",155727238.00
"Q4 - 2025","LF1: LIABILITIES: Insurance Contract Liabilities – Excluding Segregated Funds, Current Period",155727238.00
"Q1 - 2026","LF1: Net ending insurance contract balances, Prior Period, Total",155486096.00
"Q4 - 2025","LF1: Net ending insurance contract balances, Current Period, Total",155486096.00
"Q1 - 2026","LF1: Net ending insurance contract balances, Prior Period, Total",155486096.00
"Q1 - 2026","LF1: Net opening insurance contract balances, Current Period, Total",155486096.00
"Q4 - 2025","LF1: Net ending insurance contract balances, Current Period, Total",155486096.00
"Q1 - 2026","LF1: Net ending insurance contract balances, Prior Period, Total",155460137.00
"Q1 - 2026","LF1: Net ending insurance contract balances, Prior Period, Total",155460137.00
"Q1 - 2026","LF1: Net opening insurance contract balances, Current Period, Total",155460137.00
"Q4 - 2025","LF1: Net ending insurance contract balances, Current Period, Total",155460137.00
"Q4 - 2025","LF1: Net ending insurance contract balances, Current Period, Total",155460137.00
"Q1 - 2026","LF1: BEGINNING OF PERIOD,Opening balance insurance contract liabilities, Prior Period, Total",147019678.00
"Q4 - 2025","LF1: BEGINNING OF PERIOD,Opening balance insurance contract liabilities, Current Period, Total",147019678.00
