policy_id,customer_id,age,province,product_type,payment_mode,smoker,premium_monthly,coverage_amount,years_active,missed_payments_12m,lapsed
POL-00001,CUST-56173,27,Quebec,Universal Life,Monthly,1,143.41,50000,13,2,1
POL-00002,CUST-34053,57,Manitoba,Term Life,Monthly,0,145.48,50000,4,0,0
POL-00003,CUST-82125,37,Saskatchewan,Whole Life,Annual,0,125.88,50000,5,0,0
POL-00004,CUST-42432,47,Quebec,Whole Life,Monthly,0,134.49,50000,2,0,0
POL-00005,CUST-98873,47,Alberta,Universal Life,Monthly,0,136.25,50000,11,1,0
POL-00006,CUST-61595,52,Saskatchewan,Critical Illness,Monthly,0,121.37,50000,11,0,0
POL-00007,CUST-40721,62,Quebec,Universal Life,Monthly,0,137.59,50000,5,0,0
POL-00008,CUST-60757,37,Quebec,Whole Life,Annual,0,124.44,50000,6,0,0
POL-00009,CUST-13587,62,Alberta,Whole Life,Monthly,0,169.29,50000,9,1,0
POL-00010,CUST-93154,37,Manitoba,Whole Life,Monthly,0,140.66,50000,12,0,0
POL-00011,CUST-51197,32,Manitoba,Whole Life,Monthly,0,84.77,50000,5,0,0
POL-00012,CUST-51099,52,Saskatchewan,Term Life,Monthly,0,144.43,50000,8,0,0
POL-00013,CUST-46864,27,Ontario,Universal Life,Monthly,0,81.31,50000,3,0,0
POL-00014,CUST-69996,42,Quebec,Universal Life,Monthly,0,111.71,50000,13,0,0
POL-00015,CUST-80280,67,Manitoba,Whole Life,Annual,0,159.57,50000,14,2,0
POL-00016,CUST-69403,37,British Columbia,Critical Illness,Monthly,0,116.19,50000,12,1,0
POL-00017,CUST-21345,32,Ontario,Universal Life,Monthly,0,94.63,50000,13,0,0
POL-00018,CUST-75850,42,Alberta,Term Life,Monthly,0,121.0,50000,12,0,0
POL-00019,CUST-67983,52,Quebec,Term Life,Monthly,1,183.58,50000,13,1,0
POL-00020,CUST-99230,42,Ontario,Term Life,Monthly,0,134.14,50000,7,0,1
POL-00021,CUST-33926,67,Quebec,Term Life,Monthly,0,173.91,50000,4,0,0
POL-00022,CUST-82181,57,Manitoba,Whole Life,Annual,0,153.02,50000,15,1,1
POL-00023,CUST-88867,47,Saskatchewan,Term Life,Monthly,0,127.9,50000,1,0,0
POL-00024,CUST-13568,37,Saskatchewan,Term Life,Monthly,1,139.77,50000,7,0,0
POL-00025,CUST-92475,32,Quebec,Term Life,Monthly,0,109.07,50000,11,0,0
POL-00026,CUST-83043,32,British Columbia,Universal Life,Monthly,1,124.99,50000,12,0,0
POL-00027,CUST-82263,52,Manitoba,Universal Life,Monthly,1,175.03,50000,11,0,0
POL-00028,CUST-99989,37,Alberta,Term Life,Monthly,0,98.69,50000,8,1,0
POL-00029,CUST-28079,57,Alberta,Term Life,Monthly,0,147.1,50000,14,0,0
POL-00030,CUST-13412,47,Quebec,Term Life,Monthly,0,116.96,50000,4,0,0
POL-00031,CUST-65260,32,Quebec,Term Life,Monthly,0,97.79,50000,3,0,0
POL-00032,CUST-63746,52,Saskatchewan,Term Life,Monthly,0,130.49,50000,10,0,0
POL-00033,CUST-87050,62,British Columbia,Term Life,Monthly,0,147.04,50000,5,0,0
POL-00034,CUST-63946,27,Manitoba,Term Life,Monthly,0,92.55,50000,8,0,0
POL-00035,CUST-20016,47,Manitoba,Critical Illness,Annual,0,100.51,50000,7,1,0
POL-00036,CUST-57241,42,British Columbia,Whole Life,Monthly,0,98.97,50000,4,0,0
POL-00037,CUST-44742,57,Alberta,Universal Life,Monthly,0,157.24,50000,15,1,0
POL-00038,CUST-88776,37,Manitoba,Term Life,Annual,0,113.37,50000,6,0,0
POL-00039,CUST-73483,27,British Columbia,Term Life,Monthly,0,84.92,50000,11,1,0
POL-00040,CUST-83288,27,Quebec,Critical Illness,Monthly,1,140.29,50000,3,0,0
POL-00041,CUST-75979,47,Manitoba,Term Life,Monthly,0,121.93,50000,15,0,0
POL-00042,CUST-25483,62,Quebec,Whole Life,Monthly,0,149.64,50000,15,1,0
POL-00043,CUST-87357,62,Quebec,Critical Illness,Monthly,0,147.2,50000,2,1,1
POL-00044,CUST-19269,42,British Columbia,Whole Life,Monthly,0,143.48,50000,10,0,1
POL-00045,CUST-33819,67,Quebec,Term Life,Annual,0,168.42,50000,9,2,1
POL-00046,CUST-24992,57,Quebec,Whole Life,Annual,0,149.95,50000,3,0,0
POL-00047,CUST-18089,67,Manitoba,Term Life,Monthly,0,171.2,50000,12,1,1
POL-00048,CUST-89804,32,British Columbia,Term Life,Monthly,0,80.37,50000,12,0,0
POL-00049,CUST-22036,57,Quebec,Term Life,Monthly,0,140.47,50000,13,0,0
POL-00050,CUST-18856,42,Alberta,Critical Illness,Monthly,0,126.06,50000,10,1,0
POL-00051,CUST-18477,47,British Columbia,Universal Life,Monthly,0,129.55,50000,11,0,0
POL-00052,CUST-68154,47,Alberta,Term Life,Monthly,0,156.07,50000,11,0,0
POL-00053,CUST-30634,32,Quebec,Term Life,Monthly,0,96.18,50000,12,0,0
POL-00054,CUST-71494,27,Ontario,Universal Life,Annual,0,104.92,50000,9,0,0
POL-00055,CUST-33836,52,Quebec,Critical Illness,Monthly,0,148.27,50000,12,0,0
POL-00056,CUST-29630,52,Quebec,Term Life,Monthly,1,175.31,50000,1,0,0
POL-00057,CUST-24958,32,Manitoba,Term Life,Monthly,1,141.49,50000,10,0,0
POL-00058,CUST-30679,37,Ontario,Critical Illness,Monthly,0,108.12,50000,4,0,0
POL-00059,CUST-31226,37,Alberta,Critical Illness,Monthly,0,87.92,50000,7,1,0
POL-00060,CUST-85213,32,Alberta,Critical Illness,Monthly,0,106.79,50000,12,0,0
POL-00061,CUST-57909,52,Quebec,Term Life,Monthly,0,143.74,50000,2,0,0
POL-00062,CUST-47806,52,Manitoba,Term Life,Annual,1,180.63,50000,12,0,0
POL-00063,CUST-91127,27,Ontario,Whole Life,Annual,0,94.36,50000,4,1,0
POL-00064,CUST-54952,62,Quebec,Term Life,Monthly,0,168.24,50000,12,1,1
POL-00065,CUST-88812,32,Ontario,Critical Illness,Monthly,0,92.21,50000,12,1,0
POL-00066,CUST-45743,32,Ontario,Term Life,Monthly,0,120.22,50000,1,0,0
POL-00067,CUST-98322,57,Ontario,Whole Life,Monthly,0,135.75,50000,4,0,0
POL-00068,CUST-26487,62,British Columbia,Critical Illness,Annual,0,155.31,50000,13,0,0
POL-00069,CUST-56367,52,Alberta,Critical Illness,Monthly,0,146.77,50000,6,0,0
POL-00070,CUST-49535,37,Manitoba,Universal Life,Monthly,0,105.42,50000,7,0,0
POL-00071,CUST-89996,52,British Columbia,Critical Illness,Annual,0,147.59,50000,1,1,0
POL-00072,CUST-34238,42,Manitoba,Term Life,Monthly,0,116.49,50000,11,0,0
POL-00073,CUST-40890,37,Saskatchewan,Term Life,Monthly,0,113.02,50000,2,0,0
POL-00074,CUST-37014,37,British Columbia,Term Life,Monthly,0,109.43,50000,5,0,0
POL-00075,CUST-65845,32,Alberta,Critical Illness,Monthly,0,95.68,50000,8,1,0
POL-00076,CUST-28154,47,British Columbia,Critical Illness,Monthly,1,191.61,50000,12,0,0
POL-00077,CUST-52932,42,British Columbia,Term Life,Annual,0,110.52,50000,8,0,0
POL-00078,CUST-66387,52,Ontario,Term Life,Monthly,0,111.17,50000,15,0,0
POL-00079,CUST-29381,32,Ontario,Term Life,Monthly,0,92.96,50000,8,0,0
POL-00080,CUST-35816,47,Quebec,Term Life,Monthly,0,131.18,50000,4,0,0
POL-00081,CUST-22620,47,Ontario,Universal Life,Monthly,1,160.08,50000,3,2,0
POL-00082,CUST-24909,52,Manitoba,Term Life,Monthly,0,150.82,50000,12,0,0
POL-00083,CUST-93120,47,Quebec,Universal Life,Annual,0,141.39,50000,7,1,0
POL-00084,CUST-82757,52,British Columbia,Whole Life,Monthly,0,134.78,50000,10,0,0
POL-00085,CUST-27416,42,Alberta,Term Life,Monthly,1,135.41,50000,6,0,0
POL-00086,CUST-61826,27,Alberta,Term Life,Monthly,1,113.2,50000,5,0,0
POL-00087,CUST-19515,32,Quebec,Critical Illness,Monthly,0,102.21,50000,9,0,0
POL-00088,CUST-87298,27,Manitoba,Whole Life,Monthly,0,74.83,50000,5,0,0
POL-00089,CUST-78478,52,Alberta,Whole Life,Annual,0,134.19,50000,15,0,0
POL-00090,CUST-80328,32,Ontario,Term Life,Monthly,0,119.66,50000,11,0,0
POL-00091,CUST-38156,37,Alberta,Critical Illness,Annual,0,115.71,50000,13,0,0
POL-00092,CUST-43463,27,Quebec,Universal Life,Annual,0,94.15,50000,5,0,0
POL-00093,CUST-88728,47,Manitoba,Universal Life,Monthly,0,117.11,50000,1,2,1
POL-00094,CUST-60549,52,Manitoba,Whole Life,Monthly,1,175.78,50000,1,1,0
POL-00095,CUST-62364,57,British Columbia,Critical Illness,Annual,0,144.5,50000,13,0,0
POL-00096,CUST-98828,52,Ontario,Term Life,Annual,0,141.46,50000,14,0,0
POL-00097,CUST-83990,52,Manitoba,Universal Life,Monthly,1,182.33,50000,11,0,0
POL-00098,CUST-42221,62,Alberta,Whole Life,Monthly,0,167.38,50000,9,1,0
POL-00099,CUST-14517,37,Alberta,Whole Life,Monthly,0,113.15,50000,4,1,0
POL-00100,CUST-31555,47,Saskatchewan,Critical Illness,Annual,0,135.74,50000,12,0,0
POL-00101,CUST-78070,27,Saskatchewan,Critical Illness,Annual,0,87.46,50000,8,1,0
POL-00102,CUST-24685,47,Quebec,Whole Life,Annual,0,143.19,50000,10,1,0
POL-00103,CUST-37385,52,British Columbia,Whole Life,Monthly,0,127.95,50000,1,1,0
POL-00104,CUST-94592,47,Saskatchewan,Critical Illness,Monthly,0,127.11,50000,8,0,0
POL-00105,CUST-49492,27,Quebec,Critical Illness,Annual,0,108.44,50000,11,0,0
POL-00106,CUST-32461,37,Quebec,Universal Life,Monthly,1,140.82,50000,12,1,1
POL-00107,CUST-59326,67,Manitoba,Term Life,Annual,0,149.51,50000,3,0,0
POL-00108,CUST-93485,57,British Columbia,Term Life,Monthly,0,142.67,50000,1,0,0
POL-00109,CUST-29369,37,Alberta,Critical Illness,Annual,0,128.3,50000,13,0,0
POL-00110,CUST-63264,62,Saskatchewan,Universal Life,Monthly,0,129.35,50000,5,0,0
POL-00111,CUST-81523,62,Manitoba,Universal Life,Monthly,0,157.83,50000,8,1,0
POL-00112,CUST-63106,37,British Columbia,Universal Life,Monthly,0,103.99,50000,10,0,0
POL-00113,CUST-89221,67,British Columbia,Whole Life,Monthly,0,163.59,50000,8,0,0
POL-00114,CUST-46019,42,Ontario,Whole Life,Monthly,0,116.42,50000,15,0,1
POL-00115,CUST-81272,57,British Columbia,Universal Life,Annual,0,159.13,50000,13,0,0
POL-00116,CUST-45634,57,Saskatchewan,Term Life,Monthly,1,183.25,50000,6,0,1
POL-00117,CUST-15403,42,Quebec,Universal Life,Monthly,0,132.73,50000,3,0,0
POL-00118,CUST-38868,57,Quebec,Universal Life,Monthly,1,198.01,50000,15,0,0
POL-00119,CUST-22880,37,Manitoba,Universal Life,Annual,0,111.96,50000,11,0,1
POL-00120,CUST-75647,27,Ontario,Term Life,Annual,0,89.29,50000,12,0,0
POL-00121,CUST-46092,32,Ontario,Universal Life,Annual,0,107.13,50000,7,2,0
POL-00122,CUST-76487,27,Ontario,Term Life,Annual,0,100.44,50000,8,1,0
POL-00123,CUST-77283,67,Alberta,Term Life,Monthly,0,151.76,50000,3,1,0
POL-00124,CUST-57809,27,Manitoba,Whole Life,Annual,1,131.43,50000,7,1,1
POL-00125,CUST-93519,67,Alberta,Term Life,Monthly,0,162.56,50000,9,0,0
POL-00126,CUST-50403,62,Manitoba,Critical Illness,Monthly,0,151.56,50000,2,0,0
POL-00127,CUST-72178,67,British Columbia,Critical Illness,Monthly,1,192.31,50000,10,0,1
POL-00128,CUST-67205,52,Alberta,Term Life,Monthly,1,166.09,50000,10,0,0
POL-00129,CUST-73981,42,Alberta,Universal Life,Annual,0,135.67,50000,13,0,0
POL-00130,CUST-54226,67,Ontario,Whole Life,Monthly,0,161.23,50000,1,1,0
POL-00131,CUST-48499,57,British Columbia,Universal Life,Annual,1,196.33,50000,4,0,0
POL-00132,CUST-84174,67,Saskatchewan,Critical Illness,Annual,0,167.17,50000,7,0,0
POL-00133,CUST-91094,47,Ontario,Whole Life,Monthly,1,151.01,50000,14,0,0
POL-00134,CUST-15863,57,Manitoba,Term Life,Monthly,1,184.89,50000,4,0,0
POL-00135,CUST-98004,32,Ontario,Term Life,Monthly,0,88.34,50000,15,0,1
POL-00136,CUST-91233,57,Alberta,Whole Life,Monthly,0,154.89,50000,15,0,0
POL-00137,CUST-62581,62,Saskatchewan,Critical Illness,Annual,0,154.11,50000,2,0,0
POL-00138,CUST-57204,42,Manitoba,Whole Life,Monthly,1,165.86,50000,6,0,0
POL-00139,CUST-51176,47,Quebec,Term Life,Monthly,1,181.8,50000,4,0,0
POL-00140,CUST-55828,52,Alberta,Term Life,Monthly,0,117.78,50000,8,1,0
POL-00141,CUST-25853,52,Manitoba,Critical Illness,Monthly,1,168.07,50000,14,0,1
POL-00142,CUST-45187,67,Manitoba,Term Life,Monthly,0,151.09,50000,6,0,0
POL-00143,CUST-95209,52,Saskatchewan,Universal Life,Monthly,1,199.5,50000,10,1,0
POL-00144,CUST-57905,62,Ontario,Universal Life,Monthly,0,151.32,50000,3,0,0
POL-00145,CUST-42672,32,Manitoba,Term Life,Annual,0,86.82,50000,9,0,0
POL-00146,CUST-29829,62,British Columbia,Term Life,Monthly,0,183.48,50000,6,0,0
POL-00147,CUST-79406,47,British Columbia,Term Life,Monthly,0,120.89,50000,14,1,0
POL-00148,CUST-54758,62,Ontario,Term Life,Monthly,0,137.14,50000,12,0,0
POL-00149,CUST-62078,27,Manitoba,Universal Life,Monthly,0,79.7,50000,4,0,0
POL-00150,CUST-45839,42,Alberta,Universal Life,Monthly,0,122.32,50000,10,1,0
POL-00151,CUST-13133,62,Quebec,Term Life,Annual,0,157.15,50000,6,0,0
POL-00152,CUST-36458,42,Saskatchewan,Whole Life,Monthly,0,110.57,50000,7,0,0
POL-00153,CUST-63301,52,Alberta,Term Life,Monthly,1,167.78,50000,7,1,0
POL-00154,CUST-29097,37,Ontario,Term Life,Monthly,0,112.24,50000,13,0,0
POL-00155,CUST-55558,62,Alberta,Universal Life,Monthly,0,172.49,50000,5,1,0
POL-00156,CUST-87418,32,Quebec,Universal Life,Monthly,0,106.6,50000,1,0,0
POL-00157,CUST-26998,57,British Columbia,Universal Life,Annual,0,140.84,50000,3,2,0
POL-00158,CUST-86514,42,Ontario,Term Life,Annual,0,117.86,50000,13,0,0
POL-00159,CUST-22551,47,Quebec,Whole Life,Monthly,0,138.84,50000,5,1,0
POL-00160,CUST-53660,37,Quebec,Whole Life,Annual,0,131.76,50000,1,0,0
POL-00161,CUST-68429,42,Alberta,Critical Illness,Monthly,0,107.34,50000,7,0,0
POL-00162,CUST-30831,37,Saskatchewan,Universal Life,Monthly,0,124.97,50000,14,0,0
POL-00163,CUST-30732,27,British Columbia,Critical Illness,Monthly,0,89.85,50000,14,0,0
POL-00164,CUST-50533,47,Alberta,Term Life,Monthly,0,110.11,50000,15,0,0
POL-00165,CUST-11858,32,Ontario,Whole Life,Monthly,0,80.73,50000,11,0,0
POL-00166,CUST-93306,67,Manitoba,Universal Life,Monthly,0,181.61,50000,13,0,0
POL-00167,CUST-33191,37,Quebec,Term Life,Monthly,0,129.04,50000,12,0,0
POL-00168,CUST-80145,27,Quebec,Whole Life,Monthly,0,86.77,50000,1,0,0
POL-00169,CUST-35942,52,British Columbia,Whole Life,Annual,0,136.05,50000,7,0,0
POL-00170,CUST-82679,42,Saskatchewan,Critical Illness,Monthly,0,99.21,50000,8,0,0
POL-00171,CUST-26550,27,British Columbia,Term Life,Annual,0,102.74,50000,7,2,1
POL-00172,CUST-73246,62,Ontario,Critical Illness,Monthly,0,156.26,50000,13,0,0
POL-00173,CUST-74849,27,British Columbia,Whole Life,Monthly,0,74.97,50000,15,1,0
POL-00174,CUST-75160,27,Saskatchewan,Whole Life,Monthly,0,96.06,50000,9,1,0
