"province","age_group","weight"
"Alberta","50 to 54 years","0.09"
"Alberta","55 to 59 years","0.09"
"Alberta","45 to 49 years","0.08"
"Alberta","35 to 39 years","0.08"
"Alberta","40 to 44 years","0.08"
"Alberta","60 to 64 years","0.08"
"Alberta","30 to 34 years","0.08"
"Alberta","25 to 29 years","0.07"
"Alberta","65 to 69 years","0.07"
"British Columbia","55 to 59 years","0.09"
"British Columbia","50 to 54 years","0.09"
"British Columbia","35 to 39 years","0.08"
"British Columbia","60 to 64 years","0.08"
"British Columbia","45 to 49 years","0.08"
"British Columbia","40 to 44 years","0.08"
"British Columbia","30 to 34 years","0.08"
"British Columbia","25 to 29 years","0.07"
"British Columbia","65 to 69 years","0.07"
"Manitoba","55 to 59 years","0.09"
"Manitoba","50 to 54 years","0.09"
"Manitoba","40 to 44 years","0.08"
"Manitoba","30 to 34 years","0.08"
"Manitoba","35 to 39 years","0.08"
"Manitoba","45 to 49 years","0.08"
"Manitoba","60 to 64 years","0.08"
"Manitoba","65 to 69 years","0.07"
"Manitoba","25 to 29 years","0.07"
"Ontario","55 to 59 years","0.09"
"Ontario","50 to 54 years","0.09"
"Ontario","35 to 39 years","0.08"
"Ontario","40 to 44 years","0.08"
"Ontario","45 to 49 years","0.08"
"Ontario","60 to 64 years","0.08"
"Ontario","30 to 34 years","0.08"
"Ontario","25 to 29 years","0.07"
"Ontario","65 to 69 years","0.07"
"Quebec","50 to 54 years","0.09"
"Quebec","55 to 59 years","0.09"
"Quebec","35 to 39 years","0.08"
"Quebec","30 to 34 years","0.08"
"Quebec","40 to 44 years","0.08"
"Quebec","45 to 49 years","0.08"
"Quebec","60 to 64 years","0.08"
"Quebec","25 to 29 years","0.07"
"Quebec","65 to 69 years","0.07"
"Saskatchewan","55 to 59 years","0.09"
"Saskatchewan","50 to 54 years","0.09"
"Saskatchewan","60 to 64 years","0.08"
"Saskatchewan","30 to 34 years","0.08"
"Saskatchewan","40 to 44 years","0.08"
"Saskatchewan","35 to 39 years","0.08"
"Saskatchewan","45 to 49 years","0.08"
"Saskatchewan","65 to 69 years","0.07"
"Saskatchewan","25 to 29 years","0.07"
